Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
F176,"หมู, ขาหลัง, เนื้อล้วน, ดิบ","Pork, ham, whole separable lean only, raw",Sus scrofa domestica,-,20.4,7.4,148,-,0
F177,"หมู, เอ็น, ต้ม","Pork, tendon, boiled",Sus scrofa domestica,-,12.81,0,51,-,0
F178,"อึ่งอ่างปากขวด (อึ่งเพ้า), สด, รวมกระดูก","Truncate-snouted burrowing frog (Balloon frog), raw, include bone",Glyphoglossus molossus,-,16.29,2.23,96,-,0
F180,"กบ, เนื้อสด","Frog, raw",Hoplobatrachus rugulosus,-,16.05,9.89,153,-,0
F182,"ลูกชิ้น, วัว, ปิ้ง","Meat ball, beef, grilled",Bos taurus,-,17.76,3.09,163,-,0
F19,"ไก่, สะโพก, ดิบ","Chicken, thigh, raw",Gallus gallus domesticus,-,15.6,15.6,-,-,0
F2,"กบ, ลูกอ๊อด, ดิบ","Frog, tadpole, raw",Hoplobatrachus rugulosus,-,9.37,1.22,48,-,0
F20,"ไก่, สะโพก, ต้ม","Chicken, thigh, boiled",Gallus gallus domesticus,-,21.1,16.6,-,-,0
F22,"ไก่, ปีก, ดิบ","Chicken, wing, raw",Gallus gallus domesticus,-,16.9,16.6,-,-,0
F23,"ไก่, ปีก, ต้ม","Chicken, wing, boiled",Gallus gallus domesticus,-,20.6,19.8,-,-,0
F25,"ไก่, เนื้อ, ดิบ","Chicken, meat, raw",Gallus gallus domesticus,-,17.3,12.4,186,-,0
F26,"ไก่, เลือด, ต้ม","Chicken, blood, cooked",Gallus gallus domesticus,-,7.13,0.22,30,-,0
F29,"ไก่, อก, รวมหนัง, ดิบ","Chicken, breast, with skin, raw",Gallus gallus domesticus,-,19.8,8.2,153,-,0
F3,"กบ, ลูกอ๊อด, สุก","Frog, tadpole, cooked",Hoplobatrachus rugulosus,-,10.9,0.7,51,-,0
F32,"ไก่ดำ, กึ๋น, ดิบ","Chicken, black chicken, gizzard, raw",Gallus gallus domesticus,-,21.1,1.3,97,-,0
F34,"ไก่ดำ, ปีก, เนื้อและหนัง, ดิบ","Chicken, black chicken, wing, meat and skin, raw",Gallus gallus domesticus,-,22.5,6.3,147,-,0
F36,"ไก่ดำ, สะโพก, เนื้อและหนัง, ดิบ","Chicken, black chicken, thigh, meat and skin, raw",Gallus gallus domesticus,-,22.7,4,127,-,0
F37,"ไก่บ้าน, กึ๋น, ดิบ","Chicken, domestic fowl, gizzard, raw",Gallus gallus domesticus,-,20.8,3.1,112,-,0
F38,"ไก่บ้าน, น่อง, เนื้อและหนัง, ดิบ","Chicken, domestic fowl, drumstick, meat and skin, raw",Gallus gallus domesticus,-,21.7,3.6,119,-,0
F39,"ไก่บ้าน, ปีก, เนื้อและหนัง, ดิบ","Chicken, domestic fowl, wing, meat and skin, raw",Gallus gallus domesticus,-,22.3,5.3,137,-,0
F40,"ไก่บ้าน, สะโพก, เนื้อและหนัง, ดิบ","Chicken, domestic fowl, thigh, meat and skin, raw",Gallus gallus domesticus,-,21.1,4.4,124,-,0
F42,"ไก่ป่า, น่อง, เนื้อและหนัง, ดิบ","Chicken, jungle fowl, drumstick, meat and skin, raw",Gallus gallus,-,23,5.2,139,-,0
F43,"ไก่ป่า, ปีก, เนื้อและหนัง, ดิบ","Chicken, jungle fowl, drumstick, meat and skin, raw",Gallus gallus,-,22.1,11,187,-,0
F44,"ไก่ป่า, สะโพก, เนื้อและหนัง, ดิบ","Chicken, jungle fowl, thigh, meat and skin, raw",Gallus gallus,-,20.2,15.2,-,-,0
F46,"เขียด, สด, รวมกระดูก","Frog, small, raw,bone incuded",Rana sp.,-,15.1,2,80,-,0
F49,"เป็ด, เนื้อ, ดิบ","Duck, meat, raw",Anas platyrhyncha,-,13.4,16.2,199,-,0
F50,"เป็ด, เลือด, ต้ม","Duck, blood, cooked",Anas platyrhyncha,-,5.9,0.1,24,-,0
F53,"แหนม, เนื้อ",Fermented beef (Nham),Bos taurus,-,17.4,3.8,117,-,0
F54,"แหนม, หมู",Fermented pork (Nham),Sus scrofa domestica,-,19.07,2.61,115,-,0
F56,"ไส้อั่ว, ย่าง","Pork, sausage, northern style, packed in intestine",Sus scrofa domestica,-,18.45,29.33,-,-,0
F59,"วัว, เนื้อ, ดิบ","Beef, meat, raw",Bos taurus,-,20.3,4.2,119,-,0
F60,"วัว, เลือด, ดิบ","Beef, blood, raw",Bos primigenius,-,10.86,0.07,58,-,0
F61,"ลูกชิ้น, วัว, ลวก","Meat ball, beef, blanched",Bos taurus,-,14.45,1.63,,-,0
F62,ส้มเนื้อวัว,Fermented beef (Som),Bos taurus,-,22.2,2.2,143,-,0
F63,"วัว, สันนอก, ดิบ","Beef, Longissimus dorsi, raw",Bos taurus,-,20.49,1.12,98,-,0
F64,"วัว, สันใน, ดิบ","Beef, tenderloin, raw",Bos taurus,-,22.59,0.99,99,-,0
F66,"หนาง, เนื้อ","Fermented beef (Nhan), southern style",Bos taurus,-,18.58,6.32,139,-,0
F67,"หนาง, หมู","Fermented pork (Nhan), southern style",Sus scrofa domestica,-,3.3,15.4,176,-,0
F69,"หมู, สามชั้น, ดิบ","Pork, belly, raw",Sus scrofa domestica,-,14.23,34.07,-,-,0
F70,"หมู, สามชั้น, ต้ม","Pork, belly, boiled",Sus scrofa domestica,-,21.1,38.2,-,-,0
F72,"หมู, ซี่โครง, ดิบ","Pork, spare ribs, raw",Sus scrofa domestica,-,18.9,14.7,-,-,0
F75,"หมู, เนื้อ, ดิบ","Pork, lean, raw",Sus scrofa domestica,-,21.13,3.97,124,-,0
F76,"หมู, ตับ, ดิบ","Pork, liver, raw",Sus scrofa domestica,-,20.23,3.84,124,-,0
F79,"หมู, ตับอ่อน, ดิบ","Pork, pancreas, raw",Sus scrofa domestica,-,19.22,2.97,-,-,0
F8,"ไก่, กึ๋น, ดิบ","Chicken, gizzard, raw",Gallus gallus domesticus,-,18.5,2,92,-,0
F80,"หมู, ปอด, ดิบ","Pork, lung, raw",Sus scrofa domestica,-,13.7,5.8,107,-,0
F81,"หมู, เลือด, ต้ม","Pork, blood, cooked",Sus scrofa domestica,-,12.07,0.07,49,-,0
F82,"แฮม, หมู, ดิบ","Ham, pork, raw",Sus scrofa domestica,-,20.9,4.7,126,-,0
F85,"หมู, สันนอก, ดิบ","Pork, loin, raw",Sus scrofa domestica,-,22.73,6.47,149,-,0
F88,"หมู, สันใน, ดิบ","Pork, tender loin, raw",Sus scrofa domestica,-,21.8,3.2,116,-,0
F91,"หมู, หัวใจ, ดิบ","Pork, heart, raw",Sus scrofa domestica,-,17,5.8,121,-,0
F92,"ไก่, ก้น, ย่าง","Chicken, bottom, grilled",-,-,16.97,26.13,-,-,0
F95,"หมู, คอ, ดิบ","Pork, shoulder, raw",Sus scrofa domestica,-,18.4,12.8,189,-,0
F98,"หมู, ยอ","Pork, sausage, white, steamed",Sus scrofa domestica,-,14.89,24.66,-,-,0
G100,"ปลาเนื้ออ่อน, สด","Sheat fish, raw",Krytopterus bleekeri,-,15.98,1.96,83,-,0
G101,"ปลาไน, สด","Carp, common, raw",Cyprinus carpio,-,18.67,2.35,89,-,0
G103,"ปลาร้า, จากท้องตลาด","Fermented fish (Pla-ra), different markets",-,-,12.97,4.06,-,6.25,-
G105,"ปลาร้า, ปลากระดี่","Fermented fish (Pla-ra), three-spot gourami",Trichogaster trichopterus,-,7.8,2.49,-,4.37,-
G106,"ปลาร้า, ปลาช่อน","Fermented fish (Pla-ra), striped snake-head",Channa striata,-,14.99,1.47,-,62.1,-
G108,"ปลาหมึกแห้งแช่ด่าง (ใส่เย็นตาโฟ), ลวก","Dried squid, rehydrated with lye water, blanched",-,-,10.2,0.47,45,-,0
G116,"ปลาสร้อย, สด","Mimrow, raw",Crossocheilus reba,-,16.4,2.3,-,8.4,-
G117,"ปลาสลาด (ฉลาด), สด","Grey feather back, raw",Notopterus notopterus,-,19,0.5,86,-,0
G124,"ปลาสลิด, สด","Snake skin gourami, raw",Trichogaster petoralis,-,17.2,0.8,83,-,0
G125,"ปลาสลิดทะเล, สด","Spinefoot, raw",Siganus sp.,-,16.9,0.1,64,-,0
G126,"ปลาสวาย, ต้ม","Striped catfish, boiled",Pangasius sutchi,-,19.38,10.8,76,-,0
G128,"ปลาสวาย, สด","Striped catfish, raw",Pangasius sutchi,-,15.03,16.51,68,-,0
G13,"กั้งตั๊กแตน, สด","Mantis shrimp, raw",Oratosquilla napa,-,13.68,1.06,65,-,0.3
G132,"ปลาสำลี, สด","Black-banded trevally, raw",Seriolima nigrofasciata,-,18.57,5.33,75,-,0
G137,"ปลาไส้ตัน, สด","Indian anchovy (common anchovy), whole, fresh",Encrasicholina sp.,-,18,0.3,-,6.4,-
G139,"ปลาหมอเทศ, สด","Java tilapia, raw",Oreochromis mossambicus,-,13.5,7.5,66,-,0
G140,"ปลาหมอไทย, สด","Common climbing perch, raw",Anabas testudineus,-,17.2,7.1,66,-,0
G141,"ปลาหมึกกระดอง, สด","Cuttlefish, rainbow, raw",Sepia pharaonis,-,15.47,0.23,59,-,0
G143,"ปลาหมึกกล้วย, สด","Squid, splendid, raw",Loligo formosana,-,15.36,0.4,91,-,0
G145,"ปลาหมึกกล้วย, ลอกหนังติดหัว, แช่แข็ง","Squid, splendid, whole, cleaned, frozen",Loligo formosana,-,11.8,1,86,-,0
G15,ปลากดขาว (กดหลาว),"Catfish, truncated estuarine",Arius truncatus,-,18.7,1.9,65,-,0
G154,"ปลิงขาว, สด","Sea cucumber, white, without internal organs, raw",Holothuria scabra,-,10.49,0.04,44,-,0
G155,"ปลิงทะเล/ปลิงดำ, สด","Sea cucumber, black, raw",Holothuria atra,-,8.72,0.28,-,-,0
G156,"ปูทะเล, เนื้อ","Crab, serraed mud, meat",Scylla serrata,-,17.32,2.54,78,-,0
G157,"ปูทะเล, เนื้อ, ต้ม","Crab, serraed mud, meat, boiled",Scylla serrata,-,17.6,-,91,-,0
G158,"ปู, ในน้ำเกลือ, บรรจุกระป๋อง, เฉพาะเนื้อ","Crab, meat, canned in brine, drained",-,-,16.15,0.83,73,-,0
G160,ปูม้า,"Crab, blue swimming",Portunus pelagicus,-,15.1,0.72,80,-,0
G161,"ปูม้า, ดอง","Crab, blue swimming, salted",Portunus pelagicus,-,15.11,0.92,81,-,0
G162,"ปูแสม, เค็ม","Crab, Meder's mangrove, salted",Sesarma mederi,-,7.46,0.31,8,-,0
G164,"แมงกะพรุน, ดอง","Jellyfish, preserved",-,-,0.7,0.4,38,-,0
G165,"แมงกะพรุน, แห้ง","Jellyfish, dried",Rhopilema esculenta,-,6.9,0,48,-,0
G166,"หอยกะพง, ดิบ","Mussel, horse, raw",Musculus senhousia,-,8.3,1.4,75,-,0
G167,"หอยกะพง, ดอง","Mussel, horse, fermented",Musculus senhousia,-,6.1,0.9,68,-,0
G168,"หอยขม, ดิบ","Snail, pond/river, raw",Sinotaia ingallsiana,-,12.39,1.19,82,-,0
G169,"หอยแครง, ดิบ","Cockle / ark shell , raw",Arca granosa,-,11.26,0.98,58,-,0
G170,"หอยแครง, ดอง","Cockle / ark shell, fermented",Arca granosa,-,8.79,2.93,-,-,0
G174,"หอยนางรม,ดิบ","Oyster, Pacific, raw",Crassostrea gigas,-,-,-,64,-,0
G175,"หอยนางรม, บรรจุกระป๋อง","Oyster, canned",Crassostrea gigas,-,13.7,28.45,55,-,0
G176,"หอยนางรมลอย, ดอง","Oyster, pearl, fermented",Pinctada� fucata,-,5.8,2.5,50,-,0
G177,"หอยแมลงภู่, ดิบ","Mussel, green, fresh",Perna viridis,-,9.32,0.92,64,-,0
G178,"หอยแมลงภู่, ดอง","Mussel, green, fermented",Perna viridis,-,2.94,0.41,76,-,0
G180,"หอยลาย, ดิบ","Clam, undulated surf, raw",Paphia undulata,-,10.29,0.51,77,-,0
G182,"หอยลาย, ในน้ำเกลือ, บรรจุกระป๋อง, เฉพาะเนื้อ","Clam, undulated surf, canned in brine, liquid excluded",Paphia undulata,-,15.45,2,54,-,1.8
G184,"หอยส้ม, ดิบ","Scallop, radiated, raw",Amusium pleuronectes,-,6.8,0.9,64,-,3
G185,"หอยเสียบ, ดอง","Clam, bean / wedge shell, fermented",Donax faba,-,10.55,0.39,69,-,0
G189,"กุ้งกุลาดำ, เนื้อส่วนหัว","Prawn, giant tiger, flesh, head part",Penaeus monodon,-,14.3,4.4,-,0,-
G196,กุ้งจ่อม,Fermented shrimp (Kung-jom),-,-,10.61,0.85,84,-,0
G197,"ปลาจ่อม, ดิบ","Fermented fish (Pla-jom), raw",-,-,10.97,1.34,78,-,0
G198,"ปลาเจ่า, ปลาตะเพียน, ดิบ","Fermented fish (Pla-jao), common silver barb, raw",-,-,10.7,2.7,85,-,0
G199,ส้มฟัก,Fermented fish (Som-fak),-,-,12.19,1.35,74,-,0
G20,"ปูนา, สด","Crab, ricefield, raw",Esanthelphusa spp,-,13.14,1.08,83,-,0
G21,"ปลากราย, หางแพน, สด","Spotted featherback, flesh, boiled",Chitala ornata,-,17.5,1.6,66,-,0
G210,"ปลาช่อน, พุง, นึ่ง","Striped snake-head fish, belly, steamed",Channa striata,-,13.33,32.25,-,32.24,-
G211,"ปลาซิว, สด","Rasbora, raw",Rasbora sp.,-,15.2,7.6,82,-,0
G22,"ปลากราย, ขูด, ดิบ","Spotted featherback, flesh, raw",Chitala ornata,-,16.88,1.2,-,7.16,-
G221,"หอยเซลล์/หอยพัด, มีไข่, ดิบ","Scallop/ radiated, with egg, raw",Amusium pleuronectes,-,13.6,0.5,78,-,0
G225,กุนเชียงปลา,"Sausage, Chinese, fish",-,-,18.45,12.79,-,2.06,-
G23,"ปลากราย, ขูด, ต้ม","Spotted featherback, flesh, boiled",Chitala ornata,-,16.25,0.8,81,-,0
G230,เค็มบักนัด/เค็มหมากนัด (เค็มสับปะรด),"Fermented fish with pineapple pulp, salted (Kem-bug-nud)",-,-,7.78,3.8,87,-,0
G238,"ปลากราย, แหนม",Fermented spotted featherback (Nham),Chitala ornata,-,16.37,4.1,89,-,0
G255,"ปูนิ่ม (ปูทะเล), ทั้งตัว, แช่แข็ง, ยี่ห้อ ARO","Serrated mud crab, soft shell, whole, raw, frozen, ARO brand",Scylla serrata,-,9.17,0.85,51,-,0
G256,"แพนกาเซียส (ปลาดอลลี่), เฉพาะเนื้อ, ไม่รวมหนัง, แช่แข็ง","Pangasius (dolly fish), flesh, without skin, raw, frozen slices",Pangasius Hypophthalmus,-,10.66,1.06,53,-,0
G258,"ปลาไข่, ดิบ, แช่แข็ง","Capelin, raw, frozen",Mallotus villosus,-,13.22,3.47,86,-,0
G29,"หอยเชอรี่, สด","Apples nail, golden/channeled, raw",Pomacea canaliculata,-,10.62,0.56,52,-,0
G3,"กั้ง, เนื้อ, สด","Mantis shrimp, flesh, raw",Oratosquilla nepa,-,17.2,0.1,77,-,0
G33,"ปลากะพงแดงสั้นหางปาน, สด","Malabar red snapper, raw",Lutjanus malabaricus,-,18.13,0.5,80,-,0
G34,"ปลากะพงปานข้างลาย, สด","Russell's snapper, raw",Lutjanus russellii,-,18.9,0.3,78,-,0
G37,"ปลาเก๋า, สด","Grouper, raw",Epinephelus sexfasciatus,-,18.85,0.55,82,-,0
G4,"กุ้งก้ามกราม, สด","Prawn, giant freshwater, raw",Macrobrachium rosenbergii,-,17.9,3.7,88,-,0
G42,"ปลาจะละเม็ดขาว, สด","Silver pomfret, raw",Pampus argenteus,-,19.38,6.8,-,2.59,-
G48,"ปลาช่อน, ต้ม","Striped snake-head fish, boiled",Channa striata,-,18.7,8.6,-,6.1,-
G54,"ปลาส้ม, บดละเอียด, ดิบ","Fermented fish (Pla-som), ground, raw",-,-,17.88,1.06,-,5.68,-
G55,"ปลาส้ม (ปลาสร้อย), ตัวเล็ก, ไม่มีก้าง, ดิบ","Fermented fish (Pla-som), mimrow, small, without fishbone, raw",Crossocheilus reba,-,13.85,3.19,-,2.34,-
G56,"ปลาส้ม (ปลาสร้อย), ตัวเล็ก, มีก้าง, ดิบ","Fermented fish (Pla-som), mimrow, small, with fishbone, raw",Crossocheilus reba,-,18.26,4.62,-,2.82,-
G57,"ปลาร้า, น้ำ, ต้มสุก, สำหรับส้มตำ","Fermented fish (Pla-ra), sauce, boiled, for papaya salad",-,-,3.47,0.66,-,6.33,-
G58,"ปลาร้า, สับ (แจ่วบ่อง)","Fermented fish, ground (Jaew-bong)",-,-,17.04,5.93,-,1.45,-
G59,"ปลาร้าต่วง, ปลารวม","Fermented fish (Pla-ra-taung), mixed fish varieties",-,-,7.25,1.9,84,-,1.1
G66,"ปลาร้า, รวมเนื้อและน้ำ, สำหรับแกง, ปลารวม","Fermented fish (Pla-ra), mixed flesh and sauce, for soup (northeast Thai style), mixed fish varieties",-,-,7.59,2.64,-,0.91,-
G67,"ปลาร้า, เนื้อ, สำหรับแกง, ปลารวม","Fermented fish (Pla-ra), flesh, for soup (northeast Thai style), mixed fish varieties",-,-,9.3,3.27,-,0.11,-
G68,"ปลาร้า, น้ำ, สำหรับส้มตำ","Fermented fish (Pla-ra), sauce, for papaya salad",-,-,3.41,0.49,-,4.25,-
G7,"กุ้งกุลาลาย (กุ้งทะเล), สด","Prawn, green tiger, raw",Penaeus semisulcatus,-,-,-,-,3.8,-
G70,"ปลาหมึก, กรอบ","Squid snack, crispy",-,-,2.4,4.5,-,1.5,-
G74,"ปลาดุกอุย, ต้ม","Gunther's walking catfish, boiled",Clarias macrocephalus,-,18.2,15.5,-,4.47,-
G77,"ปลาดุกอุย, สด","Gunther's walking catfish, raw",Clarias macrocephalus,-,17.8,14.7,-,-,0
G78,"ปลาตะเพียนขาว, ต้ม","Common silver barb, boiled",Barbonymus gonionotus,-,19.38,10.7,-,61.34,-
G8,"กุ้งเคย (น้ำเค็ม), สด","Shrimp (sea water), tiny, raw",Acetes indicus,-,12,1,61,-,0
G81,"ปลาตาโต (ตาหวานจุด), สด","Purple-spotted bigeye, raw",Priacanthus tayenus,-,19.5,0.47,82,-,0
G9,"กุ้งกุลาดำ, พร้อมหาง, ต้ม","Prawn, black tiger, tail on, boiled",Penaeus monodon,-,17.8,0.7,78,-,0
G96,"ปลาเทโพ, สด","Black ear catfish, raw",Pangasius larnaudii,-,12.98,7.2,-,38.8,-
G98,"ปลานิล, สด","Nile tilapia, raw",Oreochromis niloticus,-,19.36,1.1,87,-,0
H1,"ไข่ไก่, ไข่ขาว, ดิบ","Egg, hen, white, raw",Gallus domesticus,-,10.21,1.08,51,-,0
H10,"ไข่ปลากระบอก, เค็ม","Roe, bluespot grey mullet, salted",Valamugil seheli,-,41.7,34.8,480,-,0
H11,"ไข่ปลาจะละเม็ด, ดิบ","Roe, pomfret, raw",Pampus argenteus (Euphrasen),-,13.6,7.7,135,-,0
H12,"ไข่เป็ด, ไข่ขาว, ดิบ","Egg, duck, white, raw",Anas boschas domesticus,-,-,-,-,-,0
H13,"ไข่เป็ด, ไข่แดง, ดิบ","Egg, duck, yolk, raw",Anas boschas domesticus,-,-,-,-,-,0
H14,"ไข่เป็ด, ทั้งฟอง, ดิบ","Egg, duck, whole, raw",Anas boschas domesticus,-,13.93,12.21,173,-,0
H15,"ไข่เค็ม, ไข่เป็ด","Egg, duck, salted, raw",Anas boschas domesticus,-,13.7,9.73,180,-,0
H16,"ไข่เค็ม, ไข่เป็ด, เสริมไอโอดีน","Egg, duck, salted, iodine fortified, raw",Anas boschas domesticus,-,13.2,13.9,184,-,0
H17,"ไข่ปลาบิน (ไข่กุ้ง),เม็ดกลมเล็กสีส้มสด, ดิบ","Roe, flying fish (tobiko), raw",Cypselurus Poecilopterus,-,11.3,3.8,100,-,0
H18,"ไข่ไก่, ต้ม, 10 นาที","Egg, hen, whole, boiled (10 min)",Gallus domesticus,-,13.15,8.31,138,-,0
H19,"ไข่ไก่, ทั้งฟอง, ดิบ (2001-2010)","Egg, hen, whole, raw (2001-2010)",Gallus domesticus,-,13.02,8.33,133,-,0
H2,"ไข่ไก่, ไข่แดง, ดิบ","Egg, hen, yolk, raw",Gallus domesticus,-,15.34,30.21,334,-,0
H20,"ไข่ไก่อ่อน, ต้ม","Egg, hen, young, boiled",Gallus domesticus,-,19.83,32.5,373,-,0
H21,"ไข่นกกระทา, ดิบ","Egg, quail, whole, raw",Coturnix coturnix,-,13.68,11.58,160,-,0
H23,"ไข่นกกระทา, ทอดบนถาดหลุมขนมครก","Egg, quail, fried in a mold",Coturnix coturnix,-,14.34,18.58,230,-,0
H24,"ไข่ปลาสลิดแห้งแดดเดียว, ทอด","Roe, snakeskin gourami, dried, fried",Trichogaster pectoralis,-,23.03,49.9,552,-,0
H25,"ไข่ปลาหมึก, ทอด","Roe, squid, fried",Loligo formosana,-,21.58,18.1,285,-,0
H26,"ไข่เป็ด, ทั้งฟอง, ต้ม","Egg, duck, whole, boiled",Anas boschas domesticus,-,13.65,11.56,162,-,0
H27,"ไข่เป็ด, ทั้งฟอง, เจียว (เติมน้ำปลา)","Egg, duck, omelet, fish sauce added",Anas boschas domesticus,-,13.98,30.97,347,-,0
H29,ไข่มดแดง,"Egg, red ant",Oecophylla smaragdina,-,7,3.2,86,-,0
H3,"ไข่ไก่, ทั้งฟอง, ดิบ (1999)","Egg, hen, whole, raw (1999)",Gallus domesticus,-,12.82,10.83,155,-,0
H30,"ไข่แมงดา (แมงดาทะเล), นึ่ง","Eggs, horseshoe crab, steamed",Carcinoscorpius rotundicauda,-,27.95,6.05,200,-,0
H31,"เต้าหู้ไข่, บรรจุแบบหลอด","Egg, steamed, soft, packed in a pouch",Gallus domesticus,-,4.69,3.08,56,-,0.9
H32,"ไข่จระเข้, ไข่ขาว","Egg, crocodile, white",Crocodilus porosus,-,2.5,0.2,15,-,0
H33,"ไข่จระเข้, ไข่แดง","Egg, crocodile, yolk",Crocodilus porosus,-,17.3,17,228,-,0
H34,"ไข่จระเข้, ดิบ","Egg, crocodile, raw",Crocodilus porosus,-,11.2,8.3,128,-,0
H35,ไข่มดแดงและตัวอ่อน,"Red ant, larva and baby ant",Oecophylla smaragdina,-,8.2,2.6,74,-,0
H36,ไข่แมงมัน (แมงมันจ่อม),"subterranean ants, egg",Carebara sp,-,8.1,10.1,129,-,0
H4,"ไข่ไก่, เจียว (เติมน้ำปลา)","Egg, hen, omelet (fish sauce added)",Gallus domesticus,-,13.98,32.89,361,-,0
H5,"ไข่ไก่, ไข่แดง, สุก (ต้ม 5 นาที)","Egg, hen, yolk, boiled (5 min)",Gallus domesticus,-,17.7,30.7,356,-,0
H6,"ไข่ไก่, ตุ๋น (เติมน้ำและน้ำปลา)","Egg, hen, steamed (water and fish sauce added)",Gallus domesticus,-,4.93,3.32,61,-,0
H8,"ไข่นกกระทา, สุก (ต้ม 5 นาที)","Egg, quail, whole, boiled (5 min)",Coturnix coturnix,-,13.15,10.52,150,-,0
J1,"นมพร่องมันเนย, สเตอริไลส์, ต่อ 100 มล.","Milk, low fat, sterilised, per 100 mL",-,6.3,4.45,1.33,52,-,1.1
J10,"นมเปรี้ยว, พร้อมดื่ม, ขาดมันเนย, พาสเจอร์ไรส์, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, skimmed, pasteurised, different flavours, per 100 mL",-,-,1.52,0.08,75,-,0
J11,"นมคืนรูปปรุงแต่ง, พร่องมันเนย, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Milk, recombined, flavoured, low fat, UHT, different flavours, per 100 mL",-,8.85,3,1.56,62,-,0
J12,"นมคืนรูปปรุงแต่ง, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Milk, recombined, flavoured, UHT, different flavours, per 100 mL",-,9.55,3.1,3.45,83,-,0.5
J13,"นมเปรี้ยว, พร้อมดื่ม, ขาดมันเนย, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, skimmed, UHT, different flavours, per 100 mL",-,13.51,2,0.05,73,-,0
J14,"นมปรุงแต่ง, อัดเม็ด, รสต่างๆ","Milk, flavoured, tablet, different flavours",-,43.47,17.3,16.7,410,-,10.3
J15,"นมเปรี้ยว, พร้อมดื่ม, ขาดมันเนย, ยูเอชที, รสต่างๆ, แคลเซียมสูง, ต่อ 100 มล.","Yoghurt, drinking, skimmed, UHT, different flavours, high calcium, per 100 mL",-,17.62,1.8,0,77,-,0
J17,"นมเปรี้ยว, พร้อมดื่ม, พร่องมันเนย, พาสเจอร์ไรส์, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, low fat, pasteurised, different flavours, per 100 mL",-,15.92,1.59,0.28,76,-,0
J2,"นมข้น, แปลงไขมัน, รสจืด","Millk, condensed, filled, unsweetened",-,8,6.36,6.55,123,-,0
J20,"นมเปรี้ยว, พร้อมดื่ม, พาสเจอร์ไรส์, รสธรรมชาติ, ต่อ 100 มล.","Yoghurt, drinking, pasteurised, plain, per 100 mL",-,15.5,1.64,1.22,93,-,0
J21,"นมเปรี้ยว, พร้อมดื่ม,ยูเอชที, รสธรรมชาติ, ต่อ 100 มล.","Yoghurt, drinking, UHT, plain, per 100 mL",-,13.5,1.6,1.35,84,-,0
J22,"นมผงดัดแปลง, สูตรต่อเนื่อง, สำหรับทารกและเด็กเล็ก (อายุตั้งแต่แรกเกิด ถึง 1 ปี)","Milk, powder, modified, follow up formula, for infants and children (new born to 1 year)",-,57.4,16.4,19.4,468,-,2.1
J23,"นมผงดัดแปลง, สูตรต่อเนื่อง, สำหรับทารกและเด็กเล็ก (อายุตั้งแต่ 6 เดือน ถึง 3 ปี)","Milk, powder, modified, follow up formula, for infants and children (6 months to 3 years)",-,59.2,13.1,21.9,482,-,1.1
J24,"นมผงปรุงแต่ง, กลิ่นรสต่างๆ","Milk, powder, different flavours",-,33.9,18.35,20.1,467,-,0
J25,"นมเปรี้ยว, พร้อมดื่ม, พาสเจอร์ไรส์, รสต่างๆ ต่อ 100 มล.","Yoghurt, drinking, pasteurised, different flavours, per 100 mL",-,15.47,1.55,1.56,87,-,0
J3,"นมคืนรูป, ขาดมันเนย, ยูเอชที, ต่อ 100 มล.","Milk, recombined, skimmed, UHT, per 100 mL",-,6.3,3.23,0.2,43,-,0
J30,"นมพร่องมันเนย, พาสเจอร์ไรส์, รสหวาน, ต่อ 100 มล.","Milk, low fat, pasteurised, sweetened, per 100 mL",-,8.5,3.3,1.5,64,-,0
J31,"นมพร่องมันเนย, ยูเอชที รสต่างๆ, ต่อ 100 มล.","Milk, low fat, UHT, different flavours, per 100 mL",-,7.95,2.97,1.24,64,-,0
J32,"นมยูเอชที, รสหวาน, ต่อ 100 มล.","Milk, whole, UHT, sweetened, per 100 mL",-,8.98,3.33,3.67,87,-,0
J33,"โยเกิร์ต, ผสมวุ้นมะพร้าว","Yoghurt, cream, with nata de coco",-,13.01,3.34,2.47,-,18.82,-
J34,"นมเปรี้ยว, พร้อมดื่ม, ยูเอชที, รสต่างๆ, ต่อ 100 มล.","Yoghurt, drinking, UHT, different flavours, per 100 mL",-,13.6,1.55,1.34,91,-,0
J35,"โยเกิร์ต, ไขมันต่ำ, รสต่างๆ","Yoghurt, cream, low-fat, different flavours",-,-,2.97,0.8,-,18.13,-
J36,เวย์โปรตีนผง,"Whey protein, powder",-,-,7.8,9.7,400,-,3.4
J38,"นมพาสเจอร์ไรส์, รสกาแฟ, ต่อ 100 มล.","Milk, whole, pasteurised, coffee flavour, per 100 mL",-,11.2,2.65,3.51,83,-,0
J39,"นมพาสเจอร์ไรส์, รสธรรมชาติ, ต่อ 100 มล.","Milk, whole, pasteurised, plain, per 100 mL",-,3.7,3.11,3.78,67,-,0
