Food_Code,Thai_Name,English_Name,Scientific_name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,CHOCDF (g) Carbohydrate,FIBTG (g) Dietary fibre
A43,"ก๋วยจั๊บ, เส้น, ต้มสุก","Pasta, Chinese, squares shape sheet, roled (kuay-jap), boiled",Oryza sativa,0,1.67,0.08,133,-,0.4
A44,"ก๋วยจั๊บญวน, เส้น, ต้มสุก","Noodles, Vietnamese, cooked",Oryza sativa,0,1.37,0.18,116,-,0.8
A46,"ก๋วยเตี๋ยวเส้นเล็ก, อบแห้ง","Noodles, rice, dried, narrow-sized strip",Oryza sativa,0,5.67,0.5,359,-,0.9
A47,"ก๋วยเตี๋ยวเส้นเล็ก, อบแห้ง พร้อมเครื่องปรุง","Noodles, rice, dried, narrow-sized strip, with seasoning",Oryza sativa,3.53,6.33,6.07,362,-,1.9
A5,"ก๋วยเตี๋ยวเส้นเล็ก, อบ/ตาก, แห้ง (เส้นจันท์)","Noodles, rice, dried, narrow-sized strip Chanthaburi noodles (Sen-Jan)",Oryza sativa,-,5.45,0.3,-,81.1,-
A55,"ข้าวโพด, เมล็ด, ในน้ำเกลือ, บรรจุกระป๋อง","Corn, sweet, whole kernel, canned in brine",-,4.93,2.65,1.4,79,-,3
A56,"บะหมี่กึ่งสำเร็จรูป, ไม่รวมเครื่องปรุง","Noodles, wheat, instant, without seasoning",-,8.41,6.66,5.71,363,-,1.2
A57,"ข้าวโพด, ครีม, บรรจุกระป๋อง","Corn, cream style, canned",-,4.25,1.35,0.7,54,-,2.5
A58,"บะหมี่, อบแห้ง","Noodles, wheat, oven dried",Ricitum sativum,-,12.4,1.4,359,-,3.8
A59,"ข้าวกล้อง, สุก","Rice, brown, cooked",Oryza sativa,-,3.93,1.46,181,-,2
A6,"ข้าวกล้อง, งอก, ดิบ","Rice, brown, germinated, raw",Oryza sativa,-,7.47,3.03,365,-,4.5
A67,"บะหมี่กึ่งสำเร็จรูป, พร้อมเครื่องปรุง, ต้ม","Noodles, wheat, instant, with seasoning, cooked",Ricitum sativum,-,1.65,1.84,-,6.61,-
A69,"บะหมี่กึ่งสำเร็จรูป, พร้อมเครื่องปรุง, รสหมูสับ","Noodles, wheat, instant, with seasoning, pork flavour",-,3.15,9.91,19.91,456,-,3.1
A7,"เกี๊ยวกึ่งสำเร็จรูป, พร้อมเครื่องปรุง รสต่างๆ","Wonton, instant, with seasoning, various flavours",-,5.03,10,15.54,403,-,0.4
A70,"บะหมี่กึ่งสำเร็จรูป, พร้อมเครื่องปรุง, รสต้มยำกุ้ง","Noodles, wheat, instant, with seasoning, Tom-yum-kung flavour",-,5.15,9,19.03,445,-,3.3
A71,"บะหมี่กึ่งสำเร็จรูป, รสหมูสับ, บรรจุในถ้วย","Noodles, wheat, instant, with seasoning, pork flavour, in cup",-,1.4,11.7,16.8,416,-,3.4
A72,"บะหมี่, เส้นกลม, ทอด","Noodles, egg, round, deep fried",-,-,8.97,32.95,-,51.2,-
A73,"บะหมี่, เส้นแบน, ทอด","Noodles, egg, flat, deep fried",-,-,8.39,40.73,-,46,-
A74,บะหมี่อบแห้งกึ่งสำเร็จรูป รสต่างๆ,"Noodles, wheat, oven dried, instant, with seasoning, different flavoures",-,3.67,11.78,4.57,361,-,3.1
A75,แป้งข้าวกล้อง,"Rice flour, brown",Oryza sativa,-,8.25,2.53,371,-,5.2
A77,แป้งข้าวเหนียว ข้าวกล้อง,"Rice flour, glutinous, brown",Oryza sativa,-,7.54,-,-,-,-
A8,ขนมจีน,"Noodles, rice, fermented (kanom-jeen)",Oryza sativa,-,1.43,0.31,103,-,0.3
A80,แป้งข้าวเจ้า,"Rice flour, white",Oryza sativa,-,6.57,0.55,359,-,0.8
A81,แป้งข้าวฟ่าง,Sorghum flour,Sorghum bicolor,-,10.61,-,-,-,-
A83,แป้งข้าวเหนียว,"Rice flour, glutinous",Oryza sativa var. Glutinosa,-,6,0,357,-,0.8
A84,แป้งปอเปี๊ยะ (ไข่ขาว+แป้งสาลี+แป้งมัน),"Spring rolls wrapper (egg white+wheat flour+tapioca flour), fresh",-,-,7.5,0.87,-,50.3,-
A85,แผ่นเกี๊ยวทอด ไม่มีหมู,"Wonton wrapper or dumpling wrapper, fried",-,-,8.3,35.63,-,51,-
A87,"เส้นหมี่ขาว, ทอด","Noodles, rice, dried, deep fried",Oryza sativa,-,4.02,42.85,-,52.15,-
A88,เส้นหมี่ข้าวกล้อง,"Noodles, brown rice, vermicelli",-,0,7.9,3.03,369,-,3.7
A89,"ข้าวกล้องสำเร็จรูป, บรรจุกระป๋อง","Rice, brown, cooked, canned",-,-,1,1.8,202,-,2.2
A9,"ข้าวกล้อง, พันธุ์ต่างๆ, ดิบ","Rice, brown, different varieties, raw",Oryza sativa,-,7.45,2.7,352,-,3.9
A90,"ข้าวขาวสำเร็จรูป, บรรจุกระป๋อง","Rice, polished, cooked, canned",-,-,1,0.3,122,-,0.2
A93,"แป้งห่อปอเปี๊ยะ, แห้ง, แผ่นบาง, แช่น้ำก่อนใช้","Spring rolls, wrapper (rice flour), dried, immerse in water before used",-,-,4.9,0,-,78.3,-
A94,"ลูกเดือย, ดิบ","Job's tears, seeds, raw",Coix lacrymajobi,-,14.08,3.17,363,-,3.5
B1,"กระจับ, ต้ม","Water caltrops, boiled",Trapa bicornis,-,3.6,0.1,135,33,-
B10,"มันเทศ, เนื้อสีม่วงแดง, ดิบ","Sweet potato, purple-red flesh, raw",Ipomoea batatas,-,0.9,0.2,76,17.6,-
B11,"มันฝรั่ง, ดิบ","Potato, raw",Solanum tuberosum,-,2.5,0.2,70,14.6,-
B12,"มันสำปะหลัง, ดิบ","Cassava, raw",Manihot esculenta,-,0.8,0.2,137,33,-
B13,"มันบุก, หัว, ดิบ","Elephant yam, raw",Amorphophallus paeoniifolius,-,1.2,0.1,-,-,18.2
B15,"มันต่อเผือก, นึ่ง","Sweet potato, purple flesh, steamed",Ipomoea batatas,12.74,1.58,0.1,-,-,4.1
B19,"มันสำปะหลัง, ต้ม","Cassava, boiled",Manihot esculenta,-,0.4,0.2,-,-,2.3
B2,"กลอย, ดิบ","Yam, wild, raw",Dioscorea hispida,0.71,2.5,0.1,143,33.1,-
B21,"ข้าวเกรียบกุ้ง, ดิบ","Crackers, shrimp, raw",-,0.4,6.7,0.6,351,79.75,-
B22,"ข้าวเกรียบกุ้ง, ทอด","Crackers, shrimp, fried",-,2.44,6.85,21.34,-,-,1.6
B24,แป้งท้าวยายม่อม,Arrowroot flour,Tacca leontopetaloides,-,0.1,0,-,-,1
B25,"แก่นตะวัน, ปอกเปลือก, ต้ม","Sunchoke (Jerusalem artichoke), without skin, boiled",Helianthus tuberosus,0.93,1.65,0.03,-,-,19.2
B26,"แก่นตะวัน, ปอกเปลือก, สด","Sunchoke (Jerusalem artichoke), without skin, raw",Helianthus tuberosus,1.13,2.3,0.11,-,-,20.9
B29,แป้งสาคู,Sago flour,Metroxylon sagu,-,0.03,0.05,342,85.3,-
B3,"เผือก, หัวใหญ่, นึ่ง","Taro, big corms, steamed",Colocasia esculenta,0.61,2.44,0.09,-,-,2.5
B5,แป้งมันสำปะหลัง,"Tapioca, flour",Manihot esculenta,-,0.11,0.09,-,-,1.2
B7,"เผือก, หัวเล็ก, นึ่ง","Taro, small corms, steamed",Colocasia esculenta,0.59,3.3,0.5,-,-,3.3
B8,"มันแกว, ดิบ","Yam bean, raw",Pachyrhizus erosus,4.79,0.8,0.1,-,-,1.2
